hierid,rawtotal,Category
DZA.41.1258,-3.590598794121273,Bottom 10
DZA.1.16,-3.5829287069530875,Bottom 10
DZA.1.5,-3.5601905090520107,Bottom 10
DZA.1.1,-3.5456587207752883,Bottom 10
DZA.41.1261,-3.5405799886693856,Bottom 10
KWT.4,-3.5189903876278334,Bottom 10
KWT.3,-3.518209065252718,Bottom 10
KWT.2,-3.5140459231255283,Bottom 10
DZA.1.R0407246e18910365,-3.507398754897075,Bottom 10
KWT.1,-3.5072106512279007,Bottom 10
VNM.5.49.507.Rec5d9fac25d56474,1.3759416913724158,Top 10
VNM.2.20.R1e4f623973c063b9,1.381565423636181,Top 10
KHM.17.112.1024.1027,1.3818492709294259,Top 10
KHM.17.110.1002.1005,1.3829900333274343,Top 10
MMR.8.27.135,1.384397192219916,Top 10
KHM.17.111.1013.1016,1.3870849752524148,Top 10
MMR.11.42.198,1.3881693590906106,Top 10
MMR.11.41.194,1.4029165408586566,Top 10
VNM.2.20.R6fe89b6a356f6765,1.4102032968641147,Top 10
VNM.3.31,1.410963715813173,Top 10
